Edge 	Weight
15384 - 1014 	741
18084 - 1015 	3760
13784 - 1016 	372
43156 - 1017 	5792
334 - 1018 	5124
24095 - 1019 	8217
49308 - 1020 	12163
25000 - 1021 	12363
35893 - 1022 	5131
13103 - 1023 	15888
43908 - 1024 	5461
25221 - 1025 	7940
31368 - 1026 	5800
17489 - 1027 	6109
45034 - 1028 	6579
5389 - 1029 	4274
799 - 1030 	169
8712 - 1031 	14567
44410 - 1032 	7328
36931 - 1033 	14637
42520 - 1034 	4485
19159 - 1035 	6534
12905 - 1036 	5573
8987 - 1037 	2502
32861 - 1038 	16584
5171 - 1039 	1033
26029 - 1040 	27254
3223 - 1041 	5674
213 - 1042 	3034
13539 - 1043 	7571
47541 - 1044 	7245
346 - 1045 	1328
29946 - 1046 	4693
1277 - 1047 	2484
22118 - 1048 	1039
33305 - 1049 	2333
35777 - 1050 	13756
30508 - 1051 	13058
11942 - 1052 	299
47759 - 1053 	14106
26550 - 1054 	16487
48984 - 1055 	4735
24372 - 1056 	1070
19057 - 1057 	6202
46874 - 1058 	3829
11534 - 1059 	8454
23856 - 1060 	12723
9583 - 1061 	11724
34700 - 1062 	215
31947 - 1063 	15962
45130 - 1064 	5251
16884 - 1065 	2589
40375 - 1066 	5452
19086 - 1067 	3016
11234 - 1068 	2943
6037 - 1069 	3226
7960 - 1070 	8850
3668 - 1071 	5245
23387 - 1072 	18066
17919 - 1073 	1996
7075 - 1074 	10702
3541 - 1075 	10908
47842 - 1076 	9964
36655 - 1077 	1915
1418 - 1078 	1145
44030 - 1079 	4376
44891 - 1080 	6946
19318 - 1081 	4472
16092 - 1082 	1154
41859 - 1083 	8617
26320 - 1084 	3866
7278 - 1085 	5575
49467 - 1086 	10905
33691 - 1087 	2515
14901 - 1088 	10841
40774 - 1089 	10298
34585 - 1090 	2904
20794 - 1091 	5356
15760 - 1092 	98
46158 - 1093 	9286
35750 - 1094 	663
34013 - 1095 	8234
3034 - 1096 	545
45548 - 1097 	9226
3805 - 1098 	2111
17092 - 1099 	8532
3833 - 1100 	2874
24625 - 1101 	1
39190 - 1102 	5760
44411 - 1103 	8828
49587 - 1104 	9481
18834 - 1105 	7441
28125 - 1106 	8679
2683 - 1107 	13364
2732 - 1108 	4704
10062 - 1109 	2441
10017 - 1110 	10998
6345 - 1111 	7407
43812 - 1112 	4489
27227 - 1113 	5365
36623 - 1114 	8511
12191 - 1115 	3609
43954 - 1116 	493
34973 - 1117 	9260
36284 - 1118 	2164
9087 - 1119 	6681
49745 - 1120 	5925
21613 - 1121 	467
44528 - 1122 	6843
2431 - 1123 	921
19637 - 1124 	1381
9227 - 1125 	1520
15829 - 1126 	668
39182 - 1127 	14189
21584 - 1128 	10992
6669 - 1129 	2206
3670 - 1130 	9851
17572 - 1131 	8986
26133 - 1132 	3341
44396 - 1133 	4689
42485 - 1134 	7775
10449 - 1135 	9609
16918 - 1136 	7322
39741 - 1137 	6849
5260 - 1138 	4668
48894 - 1139 	1756
22381 - 1140 	7996
7272 - 1141 	2205
18234 - 1142 	2700
10990 - 1143 	1515
3513 - 1144 	6313
2525 - 1145 	1274
30274 - 1146 	8951
3401 - 1147 	18639
11719 - 1148 	9616
46717 - 1149 	1991
6535 - 1150 	2694
49324 - 1151 	11438
9600 - 1152 	4276
26394 - 1153 	14213
7476 - 1154 	923
1643 - 1155 	2006
22210 - 1156 	4929
42858 - 1157 	6296
495 - 1158 	16567
44779 - 1159 	703
25515 - 1160 	7947
40328 - 1161 	1495
13847 - 1162 	3964
6960 - 1163 	18256
47145 - 1164 	4422
29322 - 1165 	4439
22519 - 1166 	3039
25485 - 1167 	890
42514 - 1168 	3716
40326 - 1169 	5418
20399 - 1170 	6869
43693 - 1171 	3985
9486 - 1172 	2464
2230 - 1173 	5723
29561 - 1174 	95
9233 - 1175 	11163
26128 - 1176 	10856
27561 - 1177 	12999
27939 - 1178 	1900
45889 - 1179 	9061
20856 - 1180 	6733
2223 - 1181 	3187
41266 - 1182 	5073
40130 - 1183 	8578
26608 - 1184 	10494
3617 - 1185 	3598
11183 - 1186 	228
34371 - 1187 	6458
160 - 1188 	1132
24188 - 1189 	10716
31844 - 1190 	4308
37140 - 1191 	13878
16213 - 1192 	11144
8445 - 1193 	4167
30855 - 1194 	869
32483 - 1195 	14843
38061 - 1196 	8172
43686 - 1197 	989
8423 - 1198 	757
2531 - 1199 	7024
39731 - 1200 	6064
13526 - 1201 	867
44802 - 1202 	11161
34955 - 1203 	572
24541 - 1204 	1321
11859 - 1205 	9092
2144 - 1206 	4386
42542 - 1207 	8212
18892 - 1208 	2485
37323 - 1209 	517
12505 - 1210 	7499
20155 - 1211 	5030
18020 - 1212 	2038
2129 - 1213 	869
26744 - 1214 	13330
30566 - 1215 	12869
40643 - 1216 	4708
23596 - 1217 	2462
48379 - 1218 	847
12804 - 1219 	28396
22567 - 1220 	1466
17639 - 1221 	3018
35477 - 1222 	9751
47187 - 1223 	3375
38635 - 1224 	7263
7767 - 1225 	947
37500 - 1226 	4571
48835 - 1227 	8632
6292 - 1228 	14770
24029 - 1229 	3877
23957 - 1230 	4645
4866 - 1231 	9529
46180 - 1232 	13710
31468 - 1233 	4162
1534 - 1234 	21572
49299 - 1235 	6891
42752 - 1236 	6051
30279 - 1237 	1902
14029 - 1238 	2460
578 - 1239 	1501
25902 - 1240 	8602
41088 - 1241 	2439
16141 - 1242 	8057
657 - 1243 	18674
21998 - 1244 	7367
15135 - 1245 	4950
14897 - 1246 	533
952 - 1247 	3736
12191 - 1248 	8046
13510 - 1249 	7147
14327 - 1250 	2203
45991 - 1251 	1998
19405 - 1252 	826
15453 - 1253 	8500
45793 - 1254 	4543
29994 - 1255 	6976
16334 - 1256 	3901
13124 - 1257 	1323
22259 - 1258 	2901
