Edge 	Weight
9276 - 808 	254 
5485 - 809 	561 
4480 - 810 	852 
5585 - 811 	611 
7642 - 812 	1002 
5290 - 813 	596 
5241 - 814 	784 
4671 - 815 	2166 
8903 - 816 	199 
4570 - 817 	2495 
8537 - 818 	1115 
4218 - 819 	82 
7418 - 820 	1423 
7747 - 821 	496 
3660 - 822 	258 
5450 - 823 	401 
2875 - 824 	560 
9080 - 825 	299 
5142 - 826 	842 
5376 - 827 	1714 
4709 - 828 	822 
8132 - 829 	1117 
4936 - 830 	406 
1985 - 831 	444 
6886 - 832 	504 
706 - 833 	3788 
6828 - 834 	1184 
4569 - 835 	707 
941 - 836 	801 
9534 - 837 	1434 
7940 - 838 	1224 
5886 - 839 	356 
6149 - 840 	3043 
149 - 841 	404 
9010 - 842 	70 
943 - 843 	1995 
6868 - 844 	778 
8912 - 845 	2451 
7121 - 846 	3032 
2078 - 847 	1631 
6016 - 848 	1608 
5559 - 849 	177 
3549 - 850 	92 
3358 - 851 	1415 
5619 - 852 	1390 
7484 - 853 	1367 
6586 - 854 	3416 
4362 - 855 	1408 
161 - 856 	483 
9416 - 857 	512 
6294 - 858 	562 
1441 - 859 	3320 
8254 - 860 	1226 
9473 - 861 	1499 
7039 - 862 	351 
8279 - 863 	275 
1273 - 864 	861 
882 - 865 	800 
6967 - 866 	930 
9345 - 867 	127 
3611 - 868 	1893 
6816 - 869 	3249 
9194 - 870 	609 
6583 - 871 	2372 
4616 - 872 	533 
416 - 873 	2203 
3157 - 874 	3099 
4379 - 875 	821 
1007 - 876 	648 
8806 - 877 	1277 
3114 - 878 	2171 
7060 - 879 	1062 
3691 - 880 	356 
9708 - 881 	1302 
8846 - 882 	1366 
9817 - 883 	2872 
5164 - 884 	909 
2179 - 885 	633 
6183 - 886 	1137 
8564 - 887 	917 
39 - 888 	559 
1362 - 889 	2816 
3727 - 890 	1416 
9471 - 891 	493 
8461 - 892 	614 
425 - 893 	1109 
1312 - 894 	1499 
6576 - 895 	2086 
116 - 896 	654 
6020 - 897 	938 
398 - 898 	469 
1656 - 899 	1877 
2769 - 900 	273 
6310 - 901 	99 
9341 - 902 	1039 
6001 - 903 	1099 
9489 - 904 	973 
4421 - 905 	81 
7190 - 906 	670 
2570 - 907 	1481 
2150 - 908 	316 
9488 - 909 	769 
8107 - 910 	831 
9282 - 911 	2071 
5200 - 912 	1720 
2028 - 913 	1275 
6007 - 914 	1357 
5187 - 915 	262 
8367 - 916 	698 
4471 - 917 	2172 
1214 - 918 	302 
6164 - 919 	1590 
376 - 920 	901 
1064 - 921 	142 
5254 - 922 	622 
4863 - 923 	1413 
1472 - 924 	1496 
5171 - 925 	201 
2611 - 926 	77 
1188 - 927 	235 
2029 - 928 	895 
2666 - 929 	379 
3558 - 930 	2133 
8580 - 931 	596 
1385 - 932 	2352 
7778 - 933 	226 
1009 - 934 	1152 
1043 - 935 	1179 
3239 - 936 	813 
9885 - 937 	1747 
8600 - 938 	908 
4981 - 939 	523 
4374 - 940 	1309 
4047 - 941 	183 
3033 - 942 	224 
7771 - 943 	367 
1675 - 944 	1266 
3974 - 945 	537 
2182 - 946 	112 
3309 - 947 	776 
4253 - 948 	50 
6139 - 949 	830 
6239 - 950 	1421 
7175 - 951 	115 
173 - 952 	1702 
4155 - 953 	221 
4201 - 954 	1557 
9784 - 955 	2156 
3118 - 956 	725 
6483 - 957 	852 
8066 - 958 	414 
679 - 959 	342 
2454 - 960 	2602 
3988 - 961 	1407 
8123 - 962 	4358 
